Transect,Abudefduf_sexfasciatus,Abudefduf_vaigiensis,Amphiprion_clarkii,Amphiprion_frenatus,Chromis_cf_chrysura,Chromis_cf_ovatiformis,Chromis_cf_vanderbilti,Chromis_fumea,Chromis_lepidolepis,Chromis_margaritifer,Chromis_notata,Chromis_xanthura,Chrysiptera_cf_unimaculata,Chrysiptera_rex,Dascyllus_reticulatus,Dascyllus_trimaculatus,Neoglyphidodon_melas,Neoglyphidodon_nigroris,Neopomacentrus_azysron,Neopomacentrus_cyanomos,Plectroglyphidodon_cf_imparipennis,Plectroglyphidodon_cf_lacrymatus,Plectroglyphidodon_dickii,Plectroglyphidodon_johnstonianus,Pomacentrus_bankanensis,Pomacentrus_chrysurus,Pomacentrus_coelestis,Pomacentrus_lepidogenys,Pomacentrus_philippinus,Pomachromis_cf_richardsoni,Stegastes_cf_nigricans,Stegastes_cf_obreptus
N_MS_15_T5,0,0,0,0,0,0,0,50,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,2
N_MS_5_T1,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
N_MS_5_T2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
N_MS_5_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0
N_MS_5_T4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1
N_MS_5_T5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1
O_BH_10_T1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_BH_10_T2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_BH_10_T3,0,0,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_BH_10_T4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_BH_10_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T2,0,0,0,0,0,0,4,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
O_DC_10_T5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_GG_10_T1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
O_GG_10_T2,0,0,0,0,0,0,0,0,0,216,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0
O_GG_10_T3,0,0,0,0,0,0,7,0,0,330,0,1,0,0,6,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0
O_GG_10_T4,0,0,0,0,0,0,50,0,0,258,0,4,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0
O_GG_10_T5,0,0,0,0,0,0,6,0,0,119,0,31,0,0,11,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
O_HR_10_T1,0,0,2,0,0,0,14,0,0,79,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
